,raw_ingr,raw_words,processed,len_proc,replaced,count,id,name_normalizado,name,Nitrogen,Protein,Total lipid (fat),"Carbohydrate, by difference",Ash,Energy,Starch,Sucrose,Glucose (dextrose),Fructose,Lactose,Maltose,"Alcohol, ethyl",Specific Gravity,Acetic acid,Citric acid,Lactic acid,Malic acid,"Carbohydrate, by summation",Water,Sorbitol,Caffeine,Theobromine,"Sugars, Total NLEA","Carbohydrate, other",Galactose,Xylitol,"Fiber, total dietary",Ribose,"Fiber, soluble","Fiber, insoluble",Total fat (NLEA),Total sugar alcohols,"Calcium, Ca","Chlorine, Cl","Iron, Fe","Magnesium, Mg","Phosphorus, P","Potassium, K","Sodium, Na","Sulfur, S","Zinc, Zn","Chromium, Cr","Cobalt, Co","Copper, Cu","Fluoride, F","Iodine, I","Manganese, Mn","Molybdenum, Mo","Selenium, Se","Vitamin A, IU",Retinol,"Vitamin A, RAE","Carotene, beta","Carotene, alpha",Vitamin E (alpha-tocopherol),"Vitamin D (D2 + D3), International Units",Vitamin D2 (ergocalciferol),Vitamin D3 (cholecalciferol),25-hydroxycholecalciferol,Vitamin D (D2 + D3),Phytoene,Phytofluene,Zeaxanthin,"Cryptoxanthin, beta",Lutein,Lycopene,Lutein + zeaxanthin,Vitamin E (label entry primarily),"Tocopherol, beta","Tocopherol, gamma","Tocopherol, delta","Tocotrienol, alpha","Tocotrienol, beta","Tocotrienol, gamma","Tocotrienol, delta","Boron, B","Nickel, Ni",Vitamin E,cis-beta-Carotene,cis-Lycopene,cis-Lutein/Zeaxanthin,"Vitamin C, total ascorbic acid",Thiamin,Riboflavin,Niacin,Pantothenic acid,Vitamin B-6,Biotin,"Folate, total",Vitamin B-12,"Choline, total",Inositol,Vitamin K (Menaquinone-4),Vitamin K (Dihydrophylloquinone),Vitamin K (phylloquinone),Folic acid,"Folate, food",5-methyl tetrahydrofolate (5-MTHF),"Folate, DFE",10-Formyl folic acid (10HCOFA),5-Formyltetrahydrofolic acid (5-HCOH4,"Choline, free","Choline, from phosphocholine","Choline, from phosphotidyl choline","Choline, from glycerophosphocholine",Betaine,"Choline, from sphingomyelin",Tryptophan,Threonine,Isoleucine,Leucine,Lysine,Methionine,Cystine,Phenylalanine,Tyrosine,Valine,Arginine,Histidine,Alanine,Aspartic acid,Glutamic acid,Glycine,Proline,Serine,Hydroxyproline,Cysteine,Glutamine,Taurine,"Sugars, added","Vitamin E, added","Vitamin B-12, added",Cholesterol,"Fatty acids, total trans","Fatty acids, total saturated",4:0,6:0,8:0,10:0,12:0,14:0,16:0,18:0,20:0,18:1,18:2,18:3,20:4,22:6 n-3 (DHA),22:0,14:1,16:1,18:4,20:1,20:5 n-3 (EPA),22:1,22:5 n-3 (DPA),14:1 t,Phytosterols,Stigmasterol,Campesterol,Brassicasterol,Beta-sitosterol,Campestanol,"Fatty acids, total monounsaturated","Fatty acids, total polyunsaturated",Beta-sitostanol,Delta-5-avenasterol,"Phytosterols, other",15:0,17:0,24:0,16:1 t,18:1 t,22:1 t,18:2 t not further defined,18:2 i,"18:2 t,t",18:2 CLAs,24:1 c,"20:2 n-6 c,c",16:1 c,18:1 c,"18:2 n-6 c,c",22:1 c,"18:3 n-6 c,c,c",17:1,20:3,"Fatty acids, total trans-monoenoic","Fatty acids, total trans-dienoic","Fatty acids, total trans-polyenoic",13:0,15:1,22:2,11:0,Epigallocatechin-3-gallate,Inulin,"18:3 n-3 c,c,c (ALA)",20:3 n-3,20:3 n-6,20:4 n-6,18:3i,21:5,22:4,18:1-11 t (18:1t n-7),20:3 n-9,"Sugars, total including NLEA",5:0,7:0,9:0,21:0,23:0,12:1,14:1 c,17:1 c,20:1 c,20:1 t,22:1 n-9,22:1 n-11,18:2 c,18:3 c,18:3 t,20:3 c,22:3,20:4 c,20:5 c,22:5 c,22:6 c,20:2 c,trans-beta-Carotene,trans-Lycopene,"Cryptoxanthin, alpha",Total dietary fiber (AOAC 2011.25),id_join
29,romaine lettuce,2,romaine lettuce,15,lettuce,4507,4308,romaine lettuce,"romaine lettuce, region 4, n/a, yes - vitamin k - nfy0101ts",0.23,0.0,0.34,0.0,0.68,0.0,0.0,0.0,0.52,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.7,2.0,0.0,0.0,0.042,0.0,0.00154,0.0152,0.032,0.273,0.0,0.0,0.00033,0.0,0.0,6.2e-05,0.0,0.0,0.000224,0.0,7e-07,0.0,0.0,0.0,0.00875,0.0,0.0002399999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00404,0.0,1e-05,0.0006,1e-05,6e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0052,9.2e-05,8.3e-05,0.0003599999999999,0.000183,0.000103,0.0,6.6e-05,0.0,0.0,0.0,0.0,0.0,0.000129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.05,0.05,0.08,0.07,0.02,0.01,0.09,0.034,0.06,0.06,0.023,0.07,0.15,0.2,0.06,0.05,0.051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,romaine lettuce
41,lettuce,1,lettuce,7,lettuce,4507,4308,lettuce,"vitamin c, lettuce, romaine, fresh (mi1,ok1) - nfy0904oi",0.2,1.24,0.26,3.24,0.55,70.0,0.0,0.0,0.39,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,95.1,0.0,0.0,0.0,1.19,0.0,0.0,0.0,1.8,0.0,0.1,1.7,0.0,0.0,0.035,0.0,0.00095,0.0136999999999999,0.03,0.253,0.0,0.0,0.00025,0.0,0.0,4.8e-05,0.0,0.0,0.000127,0.0,4.0000000000000003e-07,0.0,0.0,0.000436,0.00523,0.0,0.00014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00231,0.0,0.0,0.00032,1e-05,3e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0093,7.9e-05,7.2e-05,0.0003229999999999,0.000145,7.8e-05,0.0,6.7e-05,0.0,0.0,0.0,0.0,0.0,0.000102,0.0,0.0,5.2e-05,0.0,1.1e-05,7e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.044,0.045,0.076,0.064,0.014,0.006,0.066,0.024,0.055,0.054,0.021,0.056,0.14,0.179,0.049,0.045,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lettuce
166,cheddar cheese,2,cheddar cheese,14,cheddar,13304,1168,cheddar cheese,"vitamin k, cheddar cheese, sliced, tillamook (ca2,in) - nfy120d9w",4.01,0.0,37.6,0.0,3.84,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.2,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.747,0.0,0.00028,0.0298,0.492,0.094,0.699,0.0,0.00393,0.0,0.0,4.5e-05,0.0,0.0,5.8e-05,0.0,3.31e-05,0.0,0.000356,0.0,0.0,0.0,0.00094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3e-05,0.00055,8e-05,0.00052,8.7e-05,0.0,3e-05,1.2e-06,0.0,0.0,8.599999999999999e-06,0.0,2.4e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.106,0.0,0.0,0.7170000000000001,0.636,0.403,0.966,1.09,3.38,9.4,4.02,0.059,0.0,0.0,0.0,0.056,0.003,0.018,0.0,0.0,0.002,0.072,0.016,0.0,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.231,0.011,0.124,0.917,0.0,0.273,0.0,0.0,0.198,0.0,0.008,0.4920000000000001,7.48,0.862,0.003,0.003,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.176,0.005,0.042,0.0,0.004,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cheddar cheese
233,mozzarella cheese,2,mozzarella cheese,17,mozzarella,5343,4836,mozzarella cheese,"vitamin k, mozzarella cheese, low-moisture, part-skim, sargento (co,ct) - nfy120dhc",3.91,0.0,21.6,0.0,4.15,0.0,0.0,0.0,0.89,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.5,0.0,0.0,0.0,0.0,0.0,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.862,0.0,0.00043,0.0337,0.603,0.163,0.799,0.0,0.00394,0.0,0.0,6.2e-05,0.0,0.0,6.4e-05,0.0,3.34e-05,0.0,0.000264,0.0,0.0,0.0,0.0005899999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3e-05,0.00045,0.0002399999999999,0.00055,0.000117,0.0,3e-05,1.8e-06,0.0,0.0,4.2e-06,0.0,1.2e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.068,0.0,0.0,0.428,0.375,0.241,0.599,0.68,2.12,5.89,2.31,0.032,0.0,0.0,0.0,0.035,0.001,0.008,0.0,0.0,0.0,0.041,0.008,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.219,0.134,0.006,0.067,0.5589999999999999,0.0,0.156,0.0,0.0,0.109,0.0,0.005,0.3,4.27,0.517,0.001,0.001,0.043,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.101,0.003,0.025,0.0,0.003,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mozzarella cheese
568,olive oil,2,olive oil,9,olive oil,34402,5006,olive oil,"olive oil, extra virgin",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.8,0.0,0.0,0.0,0.0,0.0,0.021,15.8,3.16,0.472,0.0,0.0,0.0,0.0,0.0,0.147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00188,0.00809,0.0,0.167,0.0,74.2,15.5,0.00414,0.0362,0.0513,0.012,0.148,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.96,73.2,14.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,olive oil
904,salt,1,salt,4,salt,72848,6270,salt,salt; iodized,0.0,0.0,0.0,0.0,99.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.053,40.7,0.0,0.0,0.0,0.0,0.0,0.0,0.00743,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,salt
1016,cheese,1,cheese,6,cheese,2506,1170,cheese,"vitamin k, cheese, swiss, slices (ca2, nc) - 18c-16-03-vitk",4.69,29.6,35.1,12.4,7.28,1760.0,0.0,0.0,0.3,0.0,4.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.1,0.0,0.0,0.0,4.1,0.0,0.86,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.938,0.0,0.0004799999999999,0.0352,0.666,0.354,2.06,0.0,0.00458,0.0,0.0,7.6e-05,0.0,6.59e-05,6.6e-05,0.0,3.51e-05,0.0,0.000397,0.000316,7e-05,1e-06,0.00079,301.0,0.0,7.5e-06,0.0,7.5e-06,0.0,0.0,0.0,4e-06,0.0,2e-06,1.6e-05,0.0,0.0001199999999999,0.00013,4e-05,0.00031,4e-05,0.00052,0.00017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5e-05,0.00066,0.00022,0.00081,0.000111,0.0,2.6e-05,3.9e-06,0.0192,0.0,1.3e-05,0.0,3.2000000000000003e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0033,0.0085,0.006,0.0045,0.0027,0.0056,0.32,0.95,1.17,2.43,1.98,0.54,0.15,1.17,1.28,1.48,0.91,0.68,0.75,1.83,5.35,0.44,2.39,1.37,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.104,1.15,19.2,0.7340000000000001,0.585,0.371,0.898,1.05,3.38,9.67,3.78,0.054,0.0,0.0,0.0,0.059,0.006,0.021,0.0,0.0,0.008,0.223,0.014,0.0,0.022,0.055,0.0,0.0,0.0,0.0,0.0,0.0,7.44,1.47,0.0,0.0,0.0,0.362,0.211,0.011,0.115,0.917,0.001,0.258,0.0,0.0,0.183,0.003,0.009,0.526,7.15,1.15,0.004,0.013,0.07,0.0,0.947,0.225,0.003,0.0,0.003,0.006,0.018,0.0,0.0,0.181,0.005,0.041,0.0,0.004,0.0,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.016,0.31,0.063,0.223,0.0,0.004,0.0,1.06,0.153,0.004,0.037,0.0,0.051,0.012,0.021,0.006,0.009,0.0,0.0,0.0,0.0,cheese
1017,cheese,1,cheese,6,cheese,2506,1170,chinese,"restaurant, chinese, sweet and sour pork",1.42,8.88,13.6,32.5,1.25,1090.0,11.7,4.47,3.01,2.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,59.3,0.0,0.0,0.0,10.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13.3,0.0,0.046,0.0,0.00307,0.013,0.133,0.152,0.361,0.0,0.00107,0.0,0.0,8.599999999999999e-05,0.0,0.0,0.000428,0.0,9.7e-06,0.0,1e-05,2.9e-05,0.000259,0.000139,0.00089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000199,0.000103,0.0,6e-05,0.00327,0.00128,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023,0.000235,0.000103,0.00211,0.000443,0.00017,0.0,0.0,1.9e-07,0.0324,0.0,2e-06,0.0,2.78e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0035,0.0008,0.0162,0.0073,0.0074,0.0046,0.102,0.373,0.377,0.7070000000000001,0.6629999999999999,0.207,0.11,0.343,0.253,0.41,0.54,0.287,0.473,0.767,1.87,0.4,0.447,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024,0.087,2.68,0.003,0.0,0.006,0.005,0.003,0.042,1.79,0.7190000000000001,0.039,0.0,0.0,0.0,0.025,0.002,0.035,0.0,0.0,0.0,0.072,0.004,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.49,7.05,0.0,0.0,0.0,0.004,0.018,0.012,0.001,0.03,0.003,0.052,0.0,0.0,0.014,0.003,0.013,0.074,3.32,6.2,0.004,0.005,0.015,0.0,0.034,0.052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.785,0.002,0.004,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.015,0.072,0.0,0.0,0.0,6.21,0.7859999999999999,0.0,0.006,0.0,0.025,0.004,0.003,0.002,0.013,0.0,0.0,0.0,0.0,cheese
1212,turkey breakfast sausage,3,turkey breakfast sausage,24,sausage,4507,6324,turkey breakfast sausage,"turkey breakfast sausage, jimmy dean",3.15,0.0,11.9,0.0,3.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.063,0.0,0.0014299999999999,0.0229,0.268,0.728,0.914,0.0,0.00304,0.0,0.0,8e-05,0.0,0.0,0.00013,0.0,1.25e-05,0.0,0.0,0.0,0.0,0.0,0.00029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00029,0.0020499999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7e-05,0.00033,0.0058099999999999,0.00113,0.000481,0.0,0.0,1.3e-06,0.0596,0.0,4.04e-05,0.0,4.0000000000000003e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0016,0.0464,0.001,0.0021,0.0081,0.0084,0.15,0.71,0.65,1.24,1.41,0.45,0.0,0.82,0.56,0.65,1.03,0.42,0.94,1.48,2.5,0.88,0.77,0.7,0.2,0.19,0.0,0.0,0.0,0.0,0.0,0.084,0.0,0.0,0.004,0.0,0.003,0.004,0.031,0.105,2.44,0.816,0.012,0.0,0.0,0.0,0.11,0.012,0.006,0.0,0.0,0.0,0.0,0.006,0.0,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016,0.034,0.003,0.006,0.133,0.0,0.029,0.0,0.0,0.039,0.008,0.022,0.478,4.1,4.08,0.0,0.0069999999999999,0.021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.298,0.003,0.018,0.0,0.0,0.0,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024,0.0,0.067,0.0,0.074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,turkey breakfast sausage
1217,italian pork sausage,3,italian pork sausage,20,sausage,4507,6324,italian pork sausage,"italian pork sausage, store/other, cooked",3.53,0.0,32.2,0.0,3.26,0.0,0.0,0.0,1.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016,0.0,0.0018,0.0232,0.182,0.592,1.01,0.0,0.00262,0.0,0.0,9.8e-05,0.0,0.0,5.7e-05,0.0,2.29e-05,0.0,2.5e-05,0.0,0.0,0.0,0.00101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001799999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004179999999999,0.00027,0.0065,0.00086,0.000391,0.0,0.0,1.3e-06,0.0704,0.0,1.88e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059,0.0461,0.0003,0.0105,0.0039,0.0076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.097,0.0,0.0,0.0069999999999999,0.0,0.004,0.021,0.021,0.412,6.88,3.46,0.081,0.0,0.0,0.0,0.15,0.008,0.012,0.0,0.0,0.0,0.0,0.034,0.0,0.034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.098,0.003,0.011,0.122,0.0,0.029,0.0,0.0,0.041,0.0,0.255,0.735,13.1,5.06,0.0,0.0069999999999999,0.0819999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.221,0.043,0.041,0.0,0.0,0.0,0.057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.37,0.0,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,italian pork sausage
