,name,protein,unit protein,carb,unit carb,lipid,unit lip,searched
0,lettuce,1.13,G,2.92,G,0.14,G,1
1,french vanilla pudding and pie filling mix,0.0,G,91.7,G,0.0,G,1
2,stove top stuffing mix,12.6,G,73.1,G,4.1,G,1
3,cream cheese,3.57,G,7.14,G,32.1,G,1
4,cheddar,10.0,G,13.3,G,20.0,G,1
5,radicchio,2.0,G,4.0,G,0.0,G,1
6,pasta sauce,1.6,G,8.0,G,0.8,G,1
7,tomato sauce,1.64,G,6.56,G,0.0,G,1
8,shredded three cheese,37.9,G,3.41,G,27.3,G,1
9,mozzarella,21.4,G,3.57,G,25.0,G,1
10,cake mix,0.0,G,66.7,G,0.0,G,1
11,savory herb,6.73,G,68.7,G,5.91,G,1
12,diced tomato,0.84,G,3.32,G,0.5,G,1
13,and white chocolate swirled chocolate morsel,4.2,G,63.9,G,30.0,G,1
14,butter substitute,0.1,G,1.3,G,0.04,G,1
15,refrigerated cooked beef roast,5.15,G,24.9,G,1.05,G,1
16,refrigerated white chocolate chip macadamia nut cookie dough,3.98,G,61.0,G,21.3,G,1
17,crescent recipe creations refrigerated flaky dough sheet,6.79,G,49.0,G,11.2,G,1
18,perdue short cuts roasted carved chicken breast,23.9,G,2.82,G,2.82,G,1
19,condensed tomato soup,1.67,G,16.7,G,0.0,G,1
20,oats and honey crunchy granola bar,18.6,G,53.3,G,15.7,G,1
21,instant banana cream pudding mix,0.0,G,92.7,G,0.6,G,1
22,chocolate instant pudding and pie mix,2.3,G,87.9,G,1.9,G,1
23,sour cream and chive mashed potato,2.38,G,13.5,G,2.38,G,1
24,red wine,0.07,G,2.61,G,0.0,G,1
25,dressing,0.0,G,13.3,G,23.3,G,1
26,condensed cream of celery soup,0.81,G,7.32,G,5.69,G,1
27,cheesecake instant pudding and pie filling mix,0.0,G,95.8,G,0.0,G,1
28,olive oil,0.0,G,0.0,G,100,G,1
29,chocolate instant pudding and pie filling mix,2.3,G,87.9,G,1.9,G,1
30,feta cheese,17.9,G,3.57,G,21.4,G,1
31,frozen broccoli green beans onions and peppers mix,1.44,G,6.24,G,3.07,G,1
32,vanilla instant pudding and pie filling mix,0.0,G,92.9,G,0.6,G,1
33,crushed tomato,1.64,G,7.29,G,0.28,G,1
34,instant white chocolate pudding and pie filling mix,2.3,G,87.9,G,1.9,G,1
35,home s salsa,6.74,G,44.4,G,15.5,G,1
